InstitutionName	City	State	HighestDegree	Type	Region	ReligAffil	Urbanization	Urban	Tuition	SatAvg	MeanEarnings10Years	NumUndergrads	PctMale	PctFemale	MedHHInc	PctLowIncome	PctFedLoan	AttendanceCost	AvgFacSal	CompletionRate	NumGradStudents	ExpenditurePerStudent	AdmitRate	MedianDebt	TuitionCat	SatAvgCat	MeanEarnings10YearsCat	NumUndergradsCat	PctMaleCat	PctFemaleCat	MedHHIncCat	PctLowIncomeCat	PctFedLoanCat	AttendanceCostCat	AvgFacSalCat	CompletionRateCat	NumGradStudentsCat	ExpenditurePerStudentCat	AdmitRateCat	MedianDebtCat
Abilene Christian University	Abilene	TX	Graduate	Private.NonProfit	Southwest	Yes	MidCity	City	16177	1162	48900	3524	39.73	60.27	67136.19	20.55070517	55.21	48046	7756	0.6695	1666	9082	0.5696	24408	3.High	2.Medium	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	3.High	2.Medium	3.High	3.High	2.Medium	1.Low	2.Medium
Abraham Baldwin Agricultural College	Tifton	GA	Bachelors	Public	Southeast	No	Town.Distant	Town	3189	1032	36300	3744	43.72	56.28	46480.92	41.28113879	41.89	12843	5478	0.2199	0	5605	0.6894	15550	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	2.Medium	1.Low
Adams State University	Alamosa	CO	Graduate	Public	West	No	Town.Remote	Town	6150	994	38100	1881	56.14	43.86	50726.71	46.37554585	52.52	22096	6206	0.2669	1113	11928	0.9865	21500	1.Low	1.Low	1.Low	2.Medium	3.High	1.Low	1.Low	3.High	1.Low	1.Low	1.Low	1.Low	2.Medium	3.High	3.High	1.Low
Adelphi University	Garden City	NY	Graduate	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	24971	1182	63000	5307	31.28	68.72	80864.95	31.58123371	56.82	49008	12371	0.7018	2755	13492	0.7418	25000	3.High	3.High	3.High	3.High	1.Low	3.High	3.High	2.Medium	2.Medium	3.High	3.High	3.High	3.High	3.High	2.Medium	2.Medium
Adrian College	Adrian	MI	Graduate	Private.NonProfit	Midwest	Yes	Town.Distant	Town	14136	1072	42800	1781	52.55	47.45	66915.1	23.81909548	79.77	51626	8097	0.4519	39	8991	0.6481	27000	2.Medium	1.Low	1.Low	2.Medium	3.High	1.Low	2.Medium	1.Low	3.High	3.High	2.Medium	1.Low	1.Low	2.Medium	2.Medium	3.High
AdventHealth University	Orlando	FL	Graduate	Private.NonProfit	Southeast	Yes	LargeCity	City	15360	1016	58200	1166	18.87	81.13	60028.37	47.53173484	61.86	24338	7751	0.3012	364	10317	0.8689	22691	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium
Alabama A & M University	Normal	AL	Graduate	Public	Southeast	No	MidCity	City	7413	957	35500	4990	40.76	59.24	49720.22	60.20087884	71.43	22489	7101	0.2685	963	5384	0.8986	34500	1.Low	1.Low	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	3.High	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High	3.High
Alabama State University	Montgomery	AL	Graduate	Public	Southeast	No	MidCity	City	10160	972	30600	3903	37.1	62.9	46065.2	61.46166134	75.39	21476	7754	0.3001	510	8527	0.9774	32637	2.Medium	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	3.High	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	3.High
Albany College of Pharmacy and Health Sciences	Albany	NY	Graduate	Private.NonProfit	Northeast	No	SmallCity	City	24852	1228	114200	857	39.91	60.09	60872.01	22.90249433	78.38	47221	9342	0.664	472	13821	0.7189	27000	3.High	3.High	3.High	1.Low	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	2.Medium	3.High	2.Medium	3.High
Albany State University	Albany	GA	Graduate	Public	Southeast	No	SmallCity	City	3461	865	34600	5545	27.38	72.62	52181.09	58.50091408	84.56	18775	5840	0.1924	370	6319	0.905	27000	1.Low	1.Low	1.Low	3.High	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	3.High
Albertus Magnus College	New Haven	CT	Graduate	Private.NonProfit	Northeast	Yes	MidCity	City	12493	931	56000	1113	33.06	66.94	65065.75	44.00494438	87.61	47496	7300	0.7177	340	6082	0.5807	27238	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	3.High	3.High	3.High	2.Medium	3.High	2.Medium	1.Low	1.Low	3.High
Albion College	Albion	MI	Bachelors	Private.NonProfit	Midwest	Yes	Town.Fringe	Town	12849	1132	55700	1512	45.9	54.1	71425.7	26.1299435	72.82	56722	7552	0.6444	0	12341	0.6824	27000	2.Medium	2.Medium	3.High	1.Low	2.Medium	2.Medium	3.High	1.Low	3.High	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	3.High
Alcorn State University	Alcorn State	MS	Graduate	Public	Southeast	No	Rural.Remote	Rural	2668	1026	35000	3106	35.9	64.1	38329.94	66.37791012	86.07	23966	6796	0.405	485	6108	0.8931	31000	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	3.High
Alderson Broaddus University	Philippi	WV	Graduate	Private.NonProfit	Southeast	Yes	Town.Distant	Town	12234	1029	47000	823	54.19	45.81	44559.33	30.27950311	83.82	38879	5029	0.3503	75	5840	0.4253	26602	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	1.Low	2.Medium	3.High	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	3.High
Alfred University	Alfred	NY	Graduate	Private.NonProfit	Northeast	No	Town.Remote	Town	8778	1102	47300	1591	51.1	48.9	63665.1	30.248307	83.73	43294	6490	0.597	631	11299	0.6269	26000	1.Low	2.Medium	2.Medium	2.Medium	3.High	1.Low	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium	3.High
Alice Lloyd College	Pippa Passes	KY	Bachelors	Private.NonProfit	Southeast	No	Rural.Remote	Rural	8647	1054	41600	644	46.43	53.57	31403.34	42.16524217	59.63	24564	4992	0.7005	0	5515	0.2778	16062	1.Low	1.Low	1.Low	1.Low	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	1.Low	3.High	1.Low	1.Low	1.Low	1.Low
Allegheny College	Meadville	PA	Bachelors	Private.NonProfit	Northeast	Yes	Town.Distant	Town	17759	1249	56800	1735	44.78	55.22	64269	23.8566131	73.6	60783	7894	0.738	0	17621	0.6361	27000	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	3.High
Alma College	Alma	MI	Bachelors	Private.NonProfit	Midwest	Yes	Town.Distant	Town	13489	1135	46500	1396	41.55	58.45	61676.21	24.42196532	76.72	52252	7500	0.6368	0	10668	0.6411	27000	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	3.High
Alvernia University	Reading	PA	Graduate	Private.NonProfit	Northeast	Yes	SmallCity	City	17256	1042	47300	2176	29.64	70.36	60334.44	31.91140279	97.3	46581	7440	0.5718	596	6778	0.6838	27000	3.High	1.Low	2.Medium	2.Medium	1.Low	3.High	2.Medium	2.Medium	3.High	3.High	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	3.High
American International College	Springfield	MA	Graduate	Private.NonProfit	Northeast	No	MidCity	City	16040	1010	50000	1307	36.8	63.2	62232.99	38.3625731	84.2	47742	7017	0.4669	1816	7115	0.6839	27500	3.High	1.Low	2.Medium	1.Low	1.Low	3.High	2.Medium	3.High	3.High	3.High	2.Medium	1.Low	3.High	1.Low	2.Medium	3.High
