CountryName	Region	IncomeGroup	System	YearsAveraged	ladder	lgdppc	ss	hle	fmc	gen	corrupt	pos	neg	HDI2018	LifeExpAtBirth	OldAgeRatio	PercOld	MeanYrsSchool	PovIndex	GNIperCap	LogGNIperCap	ladder.20	lgdppc.20	ss.20	hle.20	fmc.20	gen.20	corrupt.20	ladder.21	lgdppc.21	ss.21	hle.21	fmc.21	gen.21	corrupt.21
Afghanistan	South Asia	Low	Presidential	12	3.594628175	7.423861941	0.508245361	52.26666673	0.518011677	0.081154282	0.843282789	0.548686949	0.326683915	0.496	64.5	4.8	4.58	3.9	0.413	1823.529	3.26091276	2.5669000149	7.4628605843	0.4703669548	52.590000153	0.3965730071	-0.0964294	0.9336865544	2.5229001045	7.6947097778	0.4625955522	52.492614746	0.3817485273	-0.101683542	0.9243381619
Albania	Europe & Central Asia	Upper middle	Parliamentary	12	4.990636269	9.275998195	0.716832683	67.39999962	0.655259823	-0.090557641	0.867527162	0.651721562	0.302115306	0.791	78.5	20	16.67	10.1	0.758	11885.508	4.075017754	4.8826999664	9.417930603	0.6710704565	68.708137512	0.7819942236	-0.042309489	0.8963037133	5.1174001694	9.5204963684	0.6974051595	68.999389648	0.7852362394	-0.029921465	0.9010128975
Algeria	Middle East & North Africa	Lower middle	Presidential	8	5.389716864	9.512916446	0.803581851	65.28999996	0.519009183	-0.165361101	0.690870593	0.608372663	0.262206246	0.759	76.7	10	9.09	8	0.675	13802.013	4.139942434	5.0050997734	9.5379648209	0.8033851385	65.905174255	0.4666109085	-0.121105164	0.7354851365	4.8871002197	9.3423728943	0.8019434214	66.004554749	0.4797153175	-0.06698665	0.7518753409
Argentina	Latin America & Caribbean	Upper middle	Presidential	14	6.339423214	9.828099046	0.904945838	67.80714308	0.764315073	-0.154986563	0.843869507	0.83844617	0.279843191	0.83	76.5	17.3	14.75	10.6	0.842	18460.737	4.266249027	5.9746999741	9.8109550476	0.9005679488	68.80380249	0.831132412	-0.194913864	0.8420098424	5.9292998314	9.9616317749	0.8975238204	69.000152588	0.8284859061	-0.181703791	0.8339568377
Armenia	Europe & Central Asia	Upper middle	Presidential	13	4.438665023	8.925176694	0.713775204	65.630769	0.542211258	-0.185719924	0.866715349	0.546481859	0.43444862	0.76	74.9	16.5	14.16	11.8	0.759	9143.678	3.961120906	4.6767997742	9.100476265	0.7574794292	66.750656128	0.7120178342	-0.13877961	0.7735447884	5.282599926	9.4873743057	0.7990387082	67.055145264	0.8253329992	-0.167646408	0.6294224262
Australia	East Asia & Pacific	High	Parliamentary	13	7.293151672	10.6676142	0.948078504	72.57692308	0.922907178	0.276398104	0.409601416	0.8030948	0.214212352	0.938	83.3	24	19.35	12.7	0.923	43560.058	4.639088447	7.222799778	10.720596313	0.9448546171	73.604537964	0.9154317379	0.1904601604	0.4151691198	7.1834998131	10.795604706	0.9401491284	73.900093079	0.9136497378	0.1585298628	0.4422915578
Austria	Europe & Central Asia	High	Parliamentary	12	7.244621476	10.70597315	0.929997419	71.97833379	0.90572013	0.144106006	0.579052508	0.7897718	0.175904526	0.914	81.4	28.5	22.18	12.6	0.871	45415.101	4.657200286	7.2941999435	10.742823601	0.9280458689	73.002502441	0.8999894857	0.0854292214	0.4999548793	7.2677998543	10.906315804	0.9341755509	73.299720764	0.9076905847	0.0415682793	0.4813777804
Azerbaijan	Europe & Central Asia	Upper middle	Presidential	14	4.940988541	9.644061089	0.770649314	63.94285747	0.662106533	-0.186507317	0.698329738	0.572745817	0.230726729	0.754	72.9	8.8	8.09	10.5	0.694	15599.618	4.19311395	5.1648001671	9.6877269745	0.8193082809	65.508399963	0.7868241072	-0.240255281	0.5525375605	5.170800209	9.568728447	0.8359205723	65.655845642	0.81416291	-0.222548172	0.5064712763
Bahrain	Middle East & North Africa	High	Presidential	9	5.860863315	10.64992396	0.884406798	67.17111121	0.845363036	0.051111549	0.553173018	0.708192378	0.365187693	0.838	77.2	3.1	3.01	9.4	0.738	41579.927	4.618883724	6.2273001671	10.676380157	0.8763421178	68.5	0.9058557749	0.1337291896	0.7393471003	6.646900177	10.668610573	0.8616421819	69.495101929	0.924988091	0.089116849	0.7219851017
Bangladesh	South Asia	Lower middle	Parliamentary	14	4.717034374	7.968017067	0.597659547	61.80714308	0.748855812	-0.030641027	0.742737732	0.62447796	0.262958575	0.614	72.3	7.7	7.15	6.1	0.513	3676.923	3.56548458	4.8327999115	8.2870635986	0.6872929931	64.503067017	0.9006249905	-0.033664726	0.6618435383	5.024600029	8.4542284012	0.693390131	64.799964905	0.8770083189	-0.041346937	0.6816807389
