"school","gender","decision"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
"A","M","Yes"
