country,population,pop_m,obesity_pct,cellphones,gdp,gdp_b,imports,imports_m,exports,exports_m,pct_unemployed,health_expend,educ_expend,maternal_mortality_per_100K,infant_mortality_per_100K,life_expectancy,region,broad_region
Afghanistan,34124811,34.124811,5.5,23929713,6.96E+10,69.55,7616000000,7616,7.84E+08,784,23.9,8.2,NA,396,110.6,51.7,Southern Asia,Asia
Albania,3047987,3.047987,21.7,3497950,3.60E+10,35.97,4084000000,4084,960900000,960.9,14,5.9,3.3,29,11.9,78.5,Southern Europe,Europe
Algeria,40969443,40.969443,27.4,49873389,6.33E+11,632.9,49990000000,49990,3.32E+10,33150,11.7,7.2,4.3,140,19.6,77,Northern Africa,Africa
Andorra,76965,0.076965,25.6,80337,3.33E+09,3.327,1257000000,1257,78710000,78.71,3.7,8.1,NA,NA,3.6,82.9,Southern Europe,Europe
Angola,29310273,29.310273,8.2,13323952,1.90E+11,190.3,23000000000,23000,3.38E+10,33820,6.6,3.3,3.5,477,67.6,60.2,Middle Africa,Africa
Antigua and Barbuda,94731,0.094731,18.9,180000,2.39E+09,2.393,420700000,420.7,61300000,61.3,11,5.5,2.4,NA,12.1,76.7,Caribbean,Americas
Argentina,44293293,44.293293,28.3,61897379,9.20E+11,920.2,60780000000,60780,5.97E+10,59690,8.1,4.8,6.3,52,9.8,77.3,South America,Americas
Armenia,3045191,3.045191,20.2,3488524,2.83E+10,28.28,3361000000,3361,2.23E+09,2233,18.9,4.5,3.3,25,12.7,74.9,Western Asia,Asia
Aruba,115120,0.11512,NA,141000,2.52E+09,2.516,1165000000,1165,246300000,246.3,6.9,NA,6,NA,10.7,76.9,Caribbean,Americas
Australia,23232413,23.232413,29,27553000,1.25E+12,1246,2.15E+11,215400,2.25E+11,224500,5.6,9.4,5.6,6,4.3,82.3,Oceania,Oceania
Austria,8754413,8.754413,20.1,14924340,4.40E+11,439.6,1.68E+11,168300,1.62E+11,161800,5.5,11.2,5.9,4,3.4,81.6,Western Europe,Europe
Azerbaijan,9961396,9.961396,19.9,10127000,1.72E+11,171.8,8734000000,8734,1.57E+10,15690,6,6,2.4,25,23.8,72.8,Western Asia,Asia
The Bahamas,329988,0.329988,31.6,353540,1.16E+10,11.6,3105000000,3105,934700000,934.7,10,7.7,NA,80,11.3,72.6,Caribbean,Americas
Bahrain,1410942,1.410942,29.8,2364477,7.04E+10,70.44,13960000000,13960,1.43E+10,14330,3.8,5,2.6,15,8.9,79,Western Asia,Asia
Bangladesh,157826578,157.826578,3.6,145113669,6.87E+11,687.1,42380000000,42380,3.59E+10,35910,4,2.8,2.2,176,31.7,73.4,Asia,Asia
Barbados,292336,0.292336,23.1,337791,5.24E+09,5.244,1515000000,1515,482500000,482.5,10.5,7.5,5.6,27,10.2,75.5,Caribbean,Americas
Belarus,9549747,9.549747,24.5,10963224,1.79E+11,178.9,26200000000,26200,2.42E+10,24200,1,5.7,5.1,4,3.6,73,Eastern Europe,Europe
Belgium,11491346,11.491346,22.1,11961089,5.29E+11,528.5,3.06E+11,306100,3.09E+11,309100,7.3,10.6,6.6,7,3.4,81.1,Western Europe,Europe
